Ranking,Title,Genre,Publisher,Year,Directors,Plot,Rating,Votes,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platforms
"779","Destruction Derby Arenas","Racing","Sony Computer Entertainment","2004","Missing","Missing",7,24,0.06,0.05,0,0.02,0.13,"PS2"
"780","Destruction Derby Raw","Racing","Sony Computer Entertainment","2000","Missing","Destruction Derby Raw is a video game for the PlayStation and is the third installment of the Destruction Derby series.",7.5,8,0.08,0.05,0,0.01,0.14,"PS"
"781","Deus Ex","Role-Playing","Eidos Interactive","2000","Warren Spector","In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue.",9.2,3232,0,0.01,0,0,0.01,"PC"
"782","Deus Ex: Human Revolution","Shooter","Square Enix","2011","Jean-François Dugas","After a shadowy black ops team kidnaps several scientists security manager Adam Jensen was sworn to protect, he must harness the power of his new-found cybernetic augmentations to save their lives.",8.6,5606,1.57,1.38,0.09,0.45,3.49,"X360|PS3|WiiU|PC"
"783","Deus Ex: Invisible War","Shooter","Eidos Interactive","2003","Harvey Smith","Twenty years after Deus Ex (2000). Alex D is evacuated from Chicago to Seattle following a terrorist attack, and soon becomes embroiled in a network of plots as the world's factions fight for control of the world.",6.9,817,0.25,0.07,0,0.01,0.33,"XB"
"784","Deus Ex: Mankind Divided","Role-Playing","Square Enix","2016","Jean-François Dugas, Kazuyuki Ikumori, Blade Zavier","Set two years after the Human Revolution in 2029, Adam Jensen is faced with the aftermath of the Aug Incident and the impact of his decision on how to resolve it.",7.9,2028,0.18,0.26,0,0.06,0.5,"PS4|PC|XOne"
"785","Devil Dice","Puzzle","THQ","1998","Hiroyuki Kotani","This game is an extremely difficult puzzle game where you control the little endearing devil and make the dice on the top to match with the corresponding dice numbers. If there is two dot ...                See full summary »",7.7,21,0.05,0.03,1.1,0.08,1.26,"PS"
"786","Devil Kings","Action","Capcom","2005","Makoto Yamamoto","Known in Japan as ""Sengoku Basara"", takes place during the Warring States Era, which Japan was split into many minor states battling over power and land.",8.1,42,0.03,0.03,0.18,0.01,0.25,"PS2"
"787","Devil May Cry","Action","Capcom","2001","Hideki Kamiya","After losing his brother and mother to demon lord Mundus, demon hunter Dante and his new friend Trish embark on a quest to confront Lord Mundus.",8.1,2615,1.36,0.86,0.64,0.13,2.99,"PS2"
"788","Devil May Cry 2","Action","Capcom","2003","Hideaki Itsuno, Carole Ruggier","Dante is recruited by a clan of Demon Slayers to protect the island of Vie de Marli from a greedy business mogul who seeks to become a demon.",5.9,1525,0.71,0.58,0.51,0.17,1.97,"PS2"
"789","Devil May Cry 3: Dante's Awakening","Action","Capcom","2005","Hideaki Itsuno","A young Dante is opening up his Merc Agency when he receives a challenge from his twin brother Vergil. The following events exponentially shape his future and make for one hell of a party.",8.5,2903,0.99,0.63,0.29,0.19,2.09,"PS2"
"790","Devil May Cry 4","Action","Capcom","2008","Hideaki Itsuno","A young knight named Nero comes to grips with his newly found power as his beliefs and allegiance are tested when he witnesses Sparda's legendary son Dante slaughter his fellow warriors.",8,2897,1.39,0.82,0.5,0.35,3.07,"PS3|X360|PC|PS4"
"791","Devil's Third","Action","Nintendo","2015","Mo Davoudian, Tomonobu Itagaki","Missing",5.2,29,0.04,0.02,0,0.01,0.06,"WiiU"
"792","Diablo","Role-Playing","Activision","1996","Mark Schwarz","It is a horrible era for the formerly peaceful town of Tristram. Prince Albrect is missing, King Leoric is dead, and demonic raids are now commonplace. You are one of the heroes, who visits Tristram to slay whatever is causing this horror.",8.5,2878,0.01,1.58,0,0,1.59,"PC"
"793","Diablo","Role-Playing","Electronic Arts","1996","Mark Schwarz","It is a horrible era for the formerly peaceful town of Tristram. Prince Albrect is missing, King Leoric is dead, and demonic raids are now commonplace. You are one of the heroes, who visits Tristram to slay whatever is causing this horror.",8.5,2878,0.29,0.19,0.07,0.04,0.58,"PS"
"794","Diablo II","Role-Playing","Havas Interactive","2000","Missing","Evil has survived. Diablo, the Lord of Terror, now seeks to free his demonic brothers. The armies of the High Heavens are forbidden to interfere with Diablo's plan.",9,4007,0.01,0.09,0,0.02,0.13,"PC"
"795","Diablo II: Lord of Destruction","Role-Playing","Vivendi Games","2001","Missing","Warriors and rebels stand against Diablo and his malignant forces as they prepare to fight in an apocalyptic conflict. In the expansion, Baal takes over command of Diablo's forces as the end of the war draws near.",9,2638,1.03,0.02,0,0,1.06,"PC"
"796","Diablo III","Role-Playing","Activision","2012","Nicholas S. Carpenter","Twenty years after the events of Diablo II (2000), Deckard Cain and his niece Leah are in Tristram Cathedral when a mysterious star falling from the sky strikes the Cathedral, creating a deep crater into which Deckard Cain disappears.",7.9,3499,4.87,4.54,0.21,1.44,11.08,"X360|PC|PS3|PS4|XOne"
"797","Diabolik Lovers: Dark Fate","Action","Idea Factory","2015","Missing","OVA will be included with the game Diabolik Lovers DARK FATE.",5.6,9,0,0,0.03,0,0.03,"PSV"
"798","Diddy Kong Racing","Racing","Nintendo","1997","Lee Schuneman","Timber the Tiger comes to Timber's Island for a pleasant vacation. But when the evil space pig, Wizpig, takes over the Island and attempts to kidnap the cuddly cub, Diddy Kong and his friends try to get rid of Wizpig for once and for all.",7.7,843,2.91,0.99,0.89,0.1,4.88,"N64"
"799","Diddy Kong Racing DS","Racing","Nintendo","2007","Gary Richards","Wizpig has taken over Timber Island! Now, Diddy Kong and friends must compete in numerous different themed races to eventually overpower Wizpig and take back Timber Island.",7.5,45,1.1,0.04,0,0.1,1.24,"DS"
"800","Die Hard Trilogy","Shooter","Fox Interactive","1996","Missing","Die Hard Trilogy is an action-packed video game for the PlayStation based on the Die Hard movie trilogy. It has you playing Bruce Willis' John McClane character who has to eliminate terrorists.",7.7,473,0.85,0.58,0,0.1,1.54,"PS"
"801","Die Hard Trilogy 2: Viva Las Vegas","Action","Fox Interactive","2000","Lani Minella","A couple of years have passed since the incident in Die Hard With A Vengeance. John McClane's policework is deteriorating. As usual he is own his own, until one day. John's old friend, ...                See full summary »",6.7,104,0.27,0.18,0,0.03,0.49,"PS"
"802","Die Hard: Vendetta","Shooter","NDA Productions","2002","Missing","Die Hard: Vendetta puts you in the role of John McCalne and takes you on another exciting, wise-cracking chase for criminals.",6.7,104,0.09,0.02,0,0,0.12,"GC"
"803","Dig Dug","Puzzle","Atari","1982","Masahisa Ikegami","In the video game DigDug you are the character Doug who has been sent to clear this underground area of all the enemies.",7.3,386,1.52,0.1,0,0.02,1.64,"2600"
"804","Dig Dug","Puzzle","Namco Bandai Games","1982","Masahisa Ikegami","In the video game DigDug you are the character Doug who has been sent to clear this underground area of all the enemies.",7.3,386,0,0,0.41,0,0.41,"NES"
"805","Digimon Adventure","Role-Playing","Namco Bandai Games","2013","Missing","Follows Tai and friends through the digital world with the help of their digimon to save the day from the evil Devimon.",8.6,30,0,0,0.1,0,0.1,"PSP"
"806","Digimon Digital Card Battle","Strategy","Namco Bandai Games","2000","Missing","Missing",8,18,0.06,0.04,0,0.01,0.11,"PS"
"807","Digimon Rumble Arena","Fighting","Namco Bandai Games","2001","Missing","A fighting game featuring Digimon from the first two TV series.",6.8,71,0.01,0.01,0,0,0.02,"PS"
"808","Digimon Story: Cyber Sleuth","Role-Playing","Namco Bandai Games","2015","Tetsuya Ookubo","A young hacker takes on the role as a cyber sleuth for a detective agency that works with Digital creatures known as Digimon.",7.9,82,0,0.09,0.17,0.02,0.28,"PS4|PSV"
"809","Digimon World","Role-Playing","Namco Bandai Games","1999","Flying Tiger Development","A RPG game based on the first Digimon TV series.",7.8,132,0.56,0.38,0.28,0.08,1.3,"PS"
"810","Digimon World 2","Role-Playing","Namco Bandai Games","2000","Missing","Missing",7.3,22,0.23,0.16,0.16,0.04,0.58,"PS"
"811","Digimon World DS","Role-Playing","Namco Bandai Games","2006","Missing","An adventurous child must fight alongside creatures known as Digimon (Digital Monsters) to defeat the evil forces that threaten the digital world.",6.3,18,0.1,0,0,0.01,0.11,"DS"
"812","Dino Crisis","Action","Capcom","1999","Shinji Mikami","On a remote island, scientist Doctor Kirk has been exploring the deeper reaches of science. After disaster strikes, commando Regina and her three teammates are deployed on the island to search for answers.",7.8,1480,0.81,0.76,0.7,0.14,2.41,"PS"
"813","Dino Crisis 2","Action","Virgin Interactive","2000","Shu Takumi","One year after the events of the first game, Regina from the S.O.R.T. team and Dylan from the U.S. Army Special Forces T.R.A.T. team are sent on a new rescue mission to the past after the Third Energy causes another catastrophic accident.",8,1021,0.34,0.49,0.28,0.1,1.21,"PS"
"814","Dino Crisis 3","Action","Capcom","2003","Hiroyuki Maruhama, Tetsuro Oyama","It is the year 2548, more than 300 years since Earth lost contact with the colony ship Ozymandias. Somehow, the ship has reappeared near Jupiter. A team is sent aboard the probe ship Seyfert to investigate.",5.8,164,0.08,0.03,0.03,0,0.14,"XB"
"815","Dino Stalker","Shooter","Capcom","2002","Eiro Shirahama","In this part rail shooter, part first person shooter, a crossover between Gun Survivor and Dino Crisis franchises, a U.S. WWII fighter pilot is teleported from 1943 to the dinosaur-infested Earth of Dino Crisis 2 (2000) for a suicide mission.",6,54,0.07,0.06,0.08,0.02,0.22,"PS2"
"816","Dirge of Cerberus: Final Fantasy VII","Shooter","Square Enix","2006","Takayoshi Nakazato","Set a few years after Final Fantasy VII: Advent Children (2005), this PS2 game tells the tale of Vincent Valentine, who is targeted by Deepground, a mysterious organization that plans to awaken a creature known as Omega, with the ability to destroy the Planet.",6.8,892,0.47,0.37,0.52,0.12,1.48,"PS2"
"817","Disaster Report","Action","Agetec","2002","Missing","In 2004, the government announced the successful creation of Stiver Island, an artificial island off the coast built as a test for creating islands all over the world. One year later, Keith...                See full summary »",7.4,44,0.03,0.02,0.15,0.01,0.21,"PS2"
"818","Disaster: Day of Crisis","Action","Nintendo","2008","Keiichi Ono, Azusa Tajima, Genki Yokota","When Ray and his partner Steve Hewitt were performing a routine rescue mission near the dormant volcano Mt. Aguilas, tragedy struck when the volcano unexpectedly erupted. During their ...                See full summary »",7.8,42,0,0.03,0.04,0,0.08,"Wii"
"819","Discworld","Adventure","Psygnosis","1995","Gregg Barnett","Game based on Terry Pratchett's famous Discworld series. On a world that is being carried on four elephants standing on a huge turtle dark plots are brewing in the city of Ankh-Morpork.",8.2,364,0.04,0.02,0,0,0.06,"PS"
"820","Discworld II: Mortality Bytes!","Adventure","Psygnosis","1996","Gregg Barnett","Rincewind, the wizard, is recovering from the adventure he had in the first game but all too soon he is called in to solve another mystery.",8.4,257,0.01,0.01,0,0,0.02,"PS"
"821","Disgaea 2: Cursed Memories","Role-Playing","Tecmo Koei","2006","Shinichi Ikeda","The 2nd game of the series. Overlord Zenon has cursed Holt Village, turning the people in the town into monsters slowly, that also includes memory loss & conscience slowly growing too. ...                See full summary »",8.4,62,0.09,0.07,0.15,0.02,0.33,"PS2"
"822","Disgaea 3: Absence of Justice","Role-Playing","Square Enix","2008","Keith Arem","Mao, an honor student at Evil Acadamy, attempts to obtain the power of a hero to get revenge on his dad for destroying his video game console. This endeavor leads him to meeting a wannabe ...                See full summary »",8.6,51,0.32,0.04,0.11,0.04,0.51,"PS3"
"823","Disgaea 4: A Promise Unforgotten","Role-Playing","Nippon Ichi Software","2011","Missing","Disgaea 4 follows the story of former tyrant Overlord Valvatores, a vampire who has sworn not to drink blood for 400 years, now leading a rebel group against the Netherworld President. The ...                See full summary »",8,29,0.31,0.15,0.22,0.08,0.76,"PSV|PS3"
"824","Disgaea 5: Alliance of Vengeance","Role-Playing","Nippon Ichi Software","2015","Missing","Disgaea 5 is a Tactical RPG game where it takes place in a universe of Netherworlds. The Lost Army controlled over half the Netherworlds, and it's up to 6 Demons and the allies they make to...                See full summary »",7.3,45,0.1,0.08,0.06,0.04,0.27,"PS4"
"825","Disgaea D2: A Brighter Darkness","Role-Playing","Nippon Ichi Software","2013","Missing","Prince Laharl has now become the Overlord of his own Netherworld, but is lacking charisma to gather many vassals and be recognized as such. The Krichevskoy Group, a gathering of Laharl's ...                See full summary »",6.1,14,0.09,0,0.1,0.01,0.21,"PS3"
"826","Disgaea: Hour of Darkness","Role-Playing","Tecmo Koei","2003","Yoshitsuna Kobayashi","Years after the death of his father,the Overlord of the Netherworld, Laharl has awakened and must rise to the task of taking over the Netherworld in his stead. Comedic moments ensue.",8.4,171,0.16,0.13,0,0.04,0.33,"PS2"
"827","Dishonored","Action","Bethesda Softworks","2012","Raphael Colantonio, Harvey Smith","After being framed for the murder of the Empress he swore to protect, a once trusted bodyguard with supernatural abilities is forced to become a masked assassin in order to seek revenge on those who conspired against him.",8.4,8771,2.23,1.48,0.07,0.52,4.3,"PC|PS4|X360|PS3|XOne"
"828","Disney Fairies: Tinker Bell","Adventure","Disney Interactive Studios","2008","Matthew Arnold","Play as the beloved Tinker Bell as you discover the mystical world of Pixie Hollow and help all your fairy friends prepare the seasons. Create and customize over 100 dresses and accessories...                See full summary »",6.9,10,0.86,0.52,0.01,0.15,1.54,"DS"
"829","Disney Fairies: Tinker Bell and the Great Fairy Rescue","Adventure","Disney Interactive Studios","2010","Yasutaka Kimura, Makoto Nakayama, Hiroshi Takemoto","It's the end of summer and it's up to your fairy to help Tinker Bell and her friends find rare seeds to create the rainbow lily, which will be used for the end of the summer celebration. In...                See full summary »",7.2,13,0.18,0.14,0,0.03,0.35,"DS"
"830","Disney Infinity","Action","Disney Interactive Studios","2013","Missing","A 3D game that brings to life all your favourite Disney characters.",7.5,602,3.13,1.48,0,0.5,5.12,"X360|3DS|PSV|WiiU|PS3|Wii"
"831","Disney Infinity 3.0","Action","Disney Interactive Studios","2015","Mo Davoudian, Hez Chorba","The third installment in Disney's toys to life game franchise. Collecting characters from Disney, Marvel, and Star Wars.",7.2,505,0.92,1.13,0,0.3,2.34,"WiiU|XOne|X360|PS3|PS4"
"832","Disney Magical World","Adventure","Nintendo","2013","Missing","Missing",8.3,23,0.16,0.2,0.53,0.03,0.92,"3DS"
"833","Disney Princess: Enchanted Journey","Adventure","Disney Interactive Studios","2007","Renée Johnson","A young girl arrives at an abandoned castle, and finds out that evil creatures called bogs are destroying Disney princesses worlds. With the help of her pixie friend, she uses magic to help the Disney princesses restore their worlds.",7.4,36,1.35,0.13,0,0.12,1.61,"Wii|PS2"
"834","Disney Sports Soccer","Sports","Konami Digital Entertainment","2002","Missing","Missing",5,12,0.05,0.02,0,0,0.06,"GC|GBA"
"835","Disney Tangled","Action","Disney Interactive Studios","2010","Missing","The story follows that of the film very closely. In a faraway kingdom, a king sought a cure for his wife's life-threatening ailment. After hearing of a magical flower that could cure ...                See full summary »",7.5,49,1.05,0.54,0,0.14,1.73,"Wii|DS"
"836","Disney Universe","Action","Disney Interactive Studios","2011","Missing","Travel across the different worlds of Disney and defeat enemies, collecting coins to unlock new worlds, from Wall-E to Pirates Of The Carribean.",7.1,75,1.34,0.68,0,0.24,2.27,"X360|PS3|Wii"
"837","Disney's A Christmas Carol","Adventure","Disney Interactive Studios","2009","Missing","A foul-tempered and misanthropic miser is shown the error of his ways in a single night through the visits of a number of spirits, some kindly and jolly; some not so much.",6.7,251,0.22,0.01,0,0.02,0.25,"DS"
"838","Disney's Party","Misc","Electronic Arts","2002","Missing","Missing",4.7,12,0.04,0.01,0,0,0.05,"GC"
"839","Disney's Party","Misc","Hudson Entertainment","2002","Missing","Missing",4.7,12,0.05,0.02,0,0,0.07,"GBA"
"840","Disruptor","Shooter","Interplay","1996","Missing","New promising LightStormer Corps recruit Jack Curtis must fight terrorists, space pirates and other threats to Earth's space colonies. President Krieger of Earth's United Nations also asks him to find a mysterious psionic orb for him.",7.8,37,0.07,0.05,0,0.01,0.13,"PS"
"841","Dissidia: Final Fantasy","Fighting","Square Enix","2008","Takeshi Arakawa, Bob Buchholz, Isao Nakajima, Teruaki Shiraishi, Shu Ikegami","Cosmos, the goddess of harmony. Chaos, god of discord. Two deities of equal strength, locked in a never-ending war have gathered warriors from various worlds.",7.8,327,0.51,0.51,0.91,0.32,2.25,"PSP"
"842","Divinity II: Ego Draconis","Role-Playing","DTP Entertainment","2009","Swen Vincke","Missing",7.1,129,0.19,0.09,0,0.03,0.32,"PC|X360"
"843","Divinity: Original Sin","Role-Playing","Focus Home Interactive","2014","Swen Vincke","Two Source Hunters who devote their lives to ridding a mysterious energy known as Source from the world of Rivellon are tasked with something much larger when the fate of their world is placed into their hands.",8,471,0.13,0.16,0.02,0.05,0.36,"XOne|PS4|PC"
"844","DmC: Devil May Cry","Action","Capcom","2013","Tameem Antoniades, Hideaki Itsuno","Dante, a young demon hunter, teams up with his estranged twin brother Vergil in order to save humanity from the powerful influence of the demon king Mundus.",7.7,2849,0.7,0.58,0.2,0.22,1.69,"X360|XOne|PS3|PS4"
"845","Doctor Who: Evacuation Earth","Adventure","Asylum Entertainment","2010","Missing","Missing",6.1,32,0,0.14,0,0.02,0.16,"DS"
"846","Doctor Who: Return to Earth","Adventure","Asylum Entertainment","2010","Missing","Missing",4.8,40,0,0.16,0,0.02,0.19,"Wii"
"847","Dog's Life","Adventure","Sony Computer Entertainment","2003","David Braben","The player character is a dog named Jake, who is in love with a golden furred dog named Daisy. Daisy is kidnapped by a couple of sinister men, without her owner even knowing it. Jake sniffs...                See full summary »",7.5,87,0.21,0.16,0,0.05,0.42,"PS2"
"848","Doki-Doki Universe","Adventure","Sony Computer Entertainment","2013","Greg Johnson","Missing",5.5,33,0.01,0.04,0,0.01,0.06,"PSV"
"849","Dolphin","Action","Activision","1983","Missing","Missing",5.9,15,0.27,0.02,0,0,0.29,"2600"
"850","Don Bradman Cricket 14","Sports","Tru Blu Entertainment","2014","Missing","Don Bradman is a Australian cricket with bare skills",7.7,49,0.01,0.16,0,0.02,0.19,"PS4|XOne|X360|PS3"
"851","Don King Presents: Prizefighter","Sports","Take-Two Interactive","2008","Matthew Seymour","Missing",7.5,21,0.14,0.08,0,0.02,0.25,"X360"
"852","Donkey Kong","Platform","Coleco","1981","Shigeru Miyamoto","Jumpman must save Pauline from the giant ape Donkey Kong.",7.4,1938,1.36,0.08,0,0.02,1.46,"2600"
"853","Donkey Kong","Platform","Coleco","1982","Missing","This is the Atari 2600 version of the arcade game.",6.6,34,1.36,0.08,0,0.02,1.46,"2600"
"854","Donkey Kong","Platform","Coleco","1983","Missing","Missing",6.8,49,1.36,0.08,0,0.02,1.46,"2600"
"855","Donkey Kong","Platform","Coleco","1986","Missing","Missing",7.6,59,1.36,0.08,0,0.02,1.46,"2600"
"856","Donkey Kong","Platform","Coleco","1988","Missing","Missing",6.7,41,1.36,0.08,0,0.02,1.46,"2600"
"857","Donkey Kong","Platform","Coleco","1994","Masayuki Kameyama, Takao Shimizu","Mario must save Pauline from the hands of her kidnapper, the giant gorilla Donkey Kong.",7.6,172,1.36,0.08,0,0.02,1.46,"2600"
"858","Donkey Kong","Platform","Nintendo","1981","Shigeru Miyamoto","Jumpman must save Pauline from the giant ape Donkey Kong.",7.4,1938,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"859","Donkey Kong","Platform","Nintendo","1982","Missing","This is the Atari 2600 version of the arcade game.",6.6,34,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"860","Donkey Kong","Platform","Nintendo","1983","Missing","Missing",6.8,49,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"861","Donkey Kong","Platform","Nintendo","1986","Missing","Missing",7.6,59,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"862","Donkey Kong","Platform","Nintendo","1988","Missing","Missing",6.7,41,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"863","Donkey Kong","Platform","Nintendo","1994","Masayuki Kameyama, Takao Shimizu","Mario must save Pauline from the hands of her kidnapper, the giant gorilla Donkey Kong.",7.6,172,1.8,0.67,1.39,0.35,4.2,"GB|NES"
"864","Donkey Kong 64","Platform","Nintendo","1999","George Andreas","Donkey Kong must retrieve his monkey friends and 200 golden bananas from the evil King K. Rool who is plotting to destroy DK Island with a machine called the Blast O' Matic.",8,1317,3.33,0.79,1.09,0.06,5.27,"N64"
"865","Donkey Kong Barrel Blast","Racing","Nintendo","2007","Kenichi Imaeda","Missing",6.5,23,0.2,0.26,0.11,0.06,0.64,"Wii"
"866","Donkey Kong Country","Platform","Nintendo","1994","Tim Stamper","Waking to find his banana hoard clean gone, Donkey Kong sets out with his nephew Diddy Kong through jungle and cavern, past temples and reef, across pine forests, factories, and mountains to rid the island of the wicked Kremlings and reclaim his bananas.",8.6,2894,6.6,2.91,3.59,0.43,13.53,"SNES|GBA|GB"
"867","Donkey Kong Country 2: Diddy's Kong Quest","Platform","Nintendo","1995","Tim Stamper","Kaptain K. Rool kidnaps Donkey Kong and imprisons him high atop Crocodile Isle. Diddy Kong and his friend Dixie Kong must brave pirate ships, volcanoes, swamps, demented theme parks and deep, dark forests to rescue the gormless gorilla.",8.6,1724,2.1,0.74,2.2,0.11,5.15,"SNES"
"868","Donkey Kong Country 3: Dixie Kong's Double Trouble!","Platform","Nintendo","1996","Tim Stamper","Trouble is brewing yet again on Donkey Kong Island and it's up to Dixie to save the captured Donkey and Diddy Kong and stop the evil Kremlings.",8,1140,1.17,0.5,1.75,0.08,3.51,"SNES"
"869","Donkey Kong Country Returns","Platform","Nintendo","2010","Bryan Walker","Donkey and Diddy Kong are back for a new adventure on the Nintendo Wii. A group of evil sentient Tiki masks known as the Tiki Tak Tribe arrive on Donkey Kong Island, and hypnotize the island's animals and steal Donkey Kong's bananas.",8.3,998,3.98,2.46,1.43,0.59,8.46,"3DS|Wii"
"870","Donkey Kong Country Returns","Platform","Nintendo","2013","Missing","Missing",7.5,59,3.98,2.46,1.43,0.59,8.46,"3DS|Wii"
"871","Donkey Kong Country: Tropical Freeze","Platform","Nintendo","2014","Missing","Donkey Kong is celebrating his birthday, when suddenly a snowflake blows in and extinguishes the birthday candle. He turns away and sees a group of anthropomorphic animal Vikings sail towards Donkey Kong Island.",8.3,712,0.73,0.52,0.15,0.12,1.52,"WiiU"
"872","Donkey Kong Jungle Beat","Platform","Nintendo","2004","Yoshiaki Koizumi","Use the official Donkey Kong Jungle Beat bongo drums to cross 40 areas and rid the island of evil kongs.",7.2,100,0.84,0.23,0.24,0.04,1.35,"GC|Wii"
"873","Donkey Kong Junior","Platform","Atari","1982","Shigeru Miyamoto","Donkey Kong Jr. is out to save his caged father from Mario.",6.6,289,0.9,0.05,0,0.01,0.97,"2600"
"874","Donkey Kong Land","Platform","Nintendo","1995","Missing","Donkey and Diddy must defeat King K. Rool.",6.5,80,1.97,0.76,1.07,0.11,3.91,"GB"
"875","Donkey Kong Land III","Platform","Nintendo","1997","Missing","The third game in the Donkey Kong Land series.",6.6,53,0.68,0.31,0,0.04,1.03,"GB"
"876","Donkey Konga","Misc","Nintendo","2003","Missing","Bang the bongo drums to the grid on the screen.",7.6,76,0.5,0.16,0.46,0.03,1.15,"GC"
"877","Donkey Konga 2","Misc","Nintendo","2004","Missing","Missing",5.9,29,0.3,0.08,0,0.01,0.39,"GC"
"878","Doom","Shooter","Activision","1993","Tomohiko Sato","A rogue tough space marine (referred to as Doomguy) is the only survivor in a hell-infested facility. He must fight his way to uncover a bitter truth",8.6,4962,0.1,0.04,0,0,0.14,"GBA"
"879","Doom","Shooter","Activision","2016","Marty Stratton","On Mars, a massive research facility tapping energy from hell has been overwhelmed by demonic forces. As the last DOOM Slayer, you have been resurrected to do one thing: to cleanse this world and send them back to where they came from.",8.5,6023,0.1,0.04,0,0,0.14,"GBA"
"880","Doom","Shooter","Infogrames","1993","Tomohiko Sato","A rogue tough space marine (referred to as Doomguy) is the only survivor in a hell-infested facility. He must fight his way to uncover a bitter truth",8.6,4962,0.43,0.3,0,0.05,0.78,"PS"
"881","Doom","Shooter","Infogrames","2016","Marty Stratton","On Mars, a massive research facility tapping energy from hell has been overwhelmed by demonic forces. As the last DOOM Slayer, you have been resurrected to do one thing: to cleanse this world and send them back to where they came from.",8.5,6023,0.43,0.3,0,0.05,0.78,"PS"
"882","Doom","Shooter","id Software","1993","Tomohiko Sato","A rogue tough space marine (referred to as Doomguy) is the only survivor in a hell-infested facility. He must fight his way to uncover a bitter truth",8.6,4962,0.02,0,0,0,0.03,"PC"
"883","Doom","Shooter","id Software","2016","Marty Stratton","On Mars, a massive research facility tapping energy from hell has been overwhelmed by demonic forces. As the last DOOM Slayer, you have been resurrected to do one thing: to cleanse this world and send them back to where they came from.",8.5,6023,0.02,0,0,0,0.03,"PC"
"884","Doom 3","Shooter","Activision","2004","Missing","A demonic invasion at Union Aerospace Corporation's Mars Research Facility has left only you and a handful of survivors with the chance to fight your way to safety.",7.8,4145,0.9,0.47,0,0.07,1.44,"PC|XB"
"885","Doom 3: Resurrection of Evil","Shooter","Activision","2005","Missing","Doom 3: Resurrection of Evil is an expansion pack and sequel to Doom 3 (2004), featuring eight multiplayer game modes, twelve new single player levels, six new enemies, as well as new weapons.",7.4,1067,0.53,0.15,0,0.03,0.71,"XB"
"886","Doom 64","Shooter","Midway Games","1997","Missing","The sole surviving Marine that lived through the horrors of Hell returns to Earth, reclaiming it from an invasion that nearly eradicated humanity.",7.3,661,0.38,0.08,0,0.01,0.47,"N64"
"887","Doom II: Hell on Earth","Shooter","Activision","1994","Missing","Doom 2 follows the story of Doom-Guy, killing hell creatures, for the future of mankind.",8.5,2949,0.03,0.01,0,0,0.04,"GBA"
"888","Doom II: Hell on Earth","Shooter","Virgin Interactive","1994","Missing","Doom 2 follows the story of Doom-Guy, killing hell creatures, for the future of mankind.",8.5,2949,2.05,1.4,0,0.16,3.61,"PC"
"889","Dora the Explorer: Dora Saves the Mermaids","Platform","Take-Two Interactive","2007","Allan Jacobsen","In this double-length special, Dora needs your help to save Mermaid Kingdom by bringing a magical crown back to Mariana the Mermaid ... and by becoming a mermaid too! Then help Dora on two ...                See full summary »",5,16,1.03,0.06,0,0.1,1.18,"PS2|DS"
"890","Dora the Explorer: Journey to the Purple Planet","Adventure","Global Star","2005","Allan Jacobsen","Missing",7.1,16,0.21,0.11,0,0.03,0.36,"PS2|GC"
"891","Doshin the Giant","Simulation","Nintendo","1999","Missing","Explore the island of Barudo as the God Doshin.",5.7,12,0,0,0.14,0,0.14,"GC"
"892","Double Dragon","Action","Activision","1987","Yoshihisa Kishimoto, Shinichi Saitou","Martial arts siblings Billy and Jimmy Lee must battle a tough gang known as the Black Warriors in order to rescue Billy's girlfriend, Marian.",7.3,1255,0.45,0.02,0,0.01,0.47,"2600"
"893","Double Dragon","Action","Activision","1995","Kazuyuki Kurata","Missing",6.9,66,0.45,0.02,0,0.01,0.47,"2600"
"894","Downhill Domination","Racing","Codemasters","2003","Missing","Downhill Domination is a sports racing video game. The game was released for the PlayStation 2.",8.4,54,0.23,0.18,0,0.06,0.47,"PS2"
"895","Dr. Mario","Puzzle","Nintendo","1990","Takahiro Harada, Hitoshi Yamagami","Mario takes up the helm of a doctor in Mushroom Hospital. Three new types of viruses threaten healthy life, so ""Doctor"" Mario formulates multi-colored vitamins ready for microscopic battle.",7.1,965,4.8,1.56,3.52,0.3,10.19,"GB|NES"
"896","Dr. Mario 64","Puzzle","Nintendo","2001","Yoshiyuki Kato, Hitoshi Yamagami","Dr. Mario throws his Mega Vitamins into the grid and you have to line up 4 a color.",6.7,74,0.34,0.07,0,0,0.42,"N64"
"897","Dr. Muto","Platform","Midway Games","2002","Missing","Missing",6.7,33,0.14,0.08,0,0.02,0.25,"PS2|GC|XB"
"898","Dragon Age II","Action","Electronic Arts","2011","Mark Darrah","The medieval world of Thedas is invaded by demonic Darkspawn. Hawke and his family are saved by a powerful mysterious witch Flemeth. They end up in a foreign city where racial, religious and political tensions threaten to tear it apart.",7.5,4902,1.35,0.9,0.06,0.3,2.6,"X360|PS3|PC"
